kod,sirket_adi,yil,ilk_islem_tarihi,sermaye_artisi_yuzde,ortak_satisi_yuzde,bireysel_lot_basina_kisi,log_lot_basina_kisi,bireysel_kisi,halka_arz_fiyati,toplam_lot,halka_arz_buyuklugu_tl,log_buyukluk,esit_dagitim,hedef_acilis_serisi,hedef_en_az_3_gun,hedef_en_az_5_gun,en_uzun_seri_hesaplanan,toplam_tavan_gunu,ilk_gun_getiri_yuzde,ilk_gun_fiyat_guvenilir
AVPGY,Avrupakent Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,21 Aralık 2023,73.35,26.65,21.52,3.0689827352935835,3653597.0,55.08,100000000.0,5508000000.0,22.42946741781282,1,0,0,0,1,1,-9.95,1
MEGMT,Mega Metal San. ve Tic. A.Ş.,2023,15 Aralık 2023,81.47,18.53,12.66,2.5384474167160302,3868974.0,28.3,53000000.0,1499900000.0,21.128664276165587,1,1,0,0,3,8,9.96,1
KBORU,Kuzey Boru A.Ş.,2023,14 Aralık 2023,92.59,7.41,6.94,1.937301774518713,3449487.0,36.2,24000000.0,868800000.0000001,20.582623507143946,1,4,1,0,5,17,10.0,1
SURGY,Sur Tatil Evleri Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,14 Aralık 2023,50.0,50.0,9.55,2.256541154492639,3768928.0,49.18,45000000.0,2213100000.0,21.51766008452264,1,1,0,0,1,3,9.9,1
CATES,Çates Elektrik Üretim A.Ş.,2023,7 Aralık 2023,75.02,24.98,7.38,1.998773638612381,3137365.0,57.15,33050000.0,1888807500.0,21.35921151450279,1,4,1,0,4,9,9.97,1
SKYMD,Şeker Yatırım Menkul Değerler A.Ş.,2023,6 Aralık 2023,66.67,33.33,18.55,2.920469789053444,2825163.0,7.0,52500000.0,367500000.0,19.722233876617164,1,6,1,1,6,8,10.0,1
BEGYO,Batı Ege Gayrimenkul Yatırım Ortaklığı A.Ş.,2023,8 Aralık 2023,100.0,0.0,62.37,4.1330843905380314,3255029.0,3.0,290000000.0,870000000.0,20.584003769612902,1,4,1,0,4,10,10.0,1
AGROT,Agrotech Yüksek Teknoloji ve Yatırım A.Ş.,2023,23 Kasım 2023,66.67,33.33,68.9,4.232656178019613,3048095.0,5.21,300000000.0,1563000000.0,21.16987288838575,1,10,1,1,10,11,9.98,1
EKOS,Ekos Teknoloji ve Elektrik A.Ş.,2023,21 Kasım 2023,100.0,0.0,18.24,2.9036169846461855,3282235.0,12.77,60000000.0,766200000.0,20.456953790230823,1,13,1,1,13,13,9.95,1
BINHO,1000 Yatırımlar Holding A.Ş.,2023,20 Kasım 2023,92.68,7.32,3.12,1.1378330018213911,3042950.0,125.0,9500000.0,1187500000.0,20.89511609387307,1,9,1,1,9,13,10.0,1
