kod,sirket_adi,ilk_islem_tarihi,kac_tavan_yapti,devam_eden_seri,en_uzun_seri,guncel_getiri
BKRGY,Bakırcı Gayrimenkul Yatırım Ortaklığı A.Ş.,2 Eyl 2026,—,—,—,"-%31,86"
INTET,İntetra Teknoloji ve Bilişim Hizmetleri A.Ş.,1 Eyl 2026,4 gün,—,4 gün,"+%19,22"
KPEKS,Kapeks Kimya Sanayi A.Ş.,21 Ağu 2026,5 gün,—,5 gün,"+%1,17"
TKNKA,Teknika Plast Teknik Kalıp Plastik San. ve Tic. A.Ş.,20 Ağu 2026,7 gün,—,7 gün,"+%101,52"
VEYAS,Türker Vangölü Enerji Yatırım A.Ş.,20 Ağu 2026,—,—,1 gün,"-%6,62"
CITAS,Çitlekçi Mağazacılık Gıda A.Ş.,18 Ağu 2026,5 gün,—,5 gün,"+%134,74"
QUICK,Quick Sigorta A.Ş.,6 Ağu 2026,—,—,—,"-%20,30"
KARCL,Kardemir Çelik Sanayi A.Ş.,31 Tem 2026,3 gün,—,7 gün,"+%497,14"
MASFN,Masfen Enerji A.Ş.,30 Tem 2026,—,—,—,"-%15,72"
ALBTN,Albayrak Hazır Beton San. ve Tic. A.Ş.,29 Tem 2026,—,—,2 gün,"-%19,74"
METEN,Metgün Enerji Yatırımları A.Ş.,28 Tem 2026,2 gün,—,2 gün,"-%4,25"
SARAE,Şa-Ra Enerji İnşaat Ticaret ve Sanayi A.Ş.,17 Tem 2026,6 gün,—,6 gün,"+%10,14"
SSAAT,Saat ve Saat San. ve Tic. A.Ş.,16 Tem 2026,—,—,1 gün,"-%41,14"
ISVEA,İsvea Seramik ve Banyo Ürünleri Sanayi A.Ş.,10 Tem 2026,3 gün,—,6 gün,"+%354,31"
EKIM,Ekim Turizm Ticaret ve Sanayi A.Ş (Intercity),9 Tem 2026,—,—,1 gün,"-%40,88"
GOLDA,Golda Gıda Sanayi ve Ticaret A.Ş.,8 Tem 2026,8 gün,—,8 gün,"+%34,46"
ORZAX,Orzaks İlaç ve Kimya Sanayi Ticaret A.Ş.,7 Tem 2026,1 gün,—,3 gün,"+%25,29"
SOHOE,Soho Giyim ve Enerji A.Ş.,6 Tem 2026,1 gün,—,1 gün,"-%30,27"
