kod,talep_toplama_orani,sermaye_artisi_yuzde,ortak_satisi_yuzde,fon_kullanim_ozet,sektor,kaynaklar
KPEKS,2.98x,100,0,"%40-50 yeni üretim tesisi/depo yatırımı, %20-30 hammadde tedariki, %20-30 işletme sermayesi","Kimya / patlayıcı malzeme üretimi (madencilik, taş ocakçılığı, altyapı, inşaat)","web araması (pilot test, tek tek kaynak linki tutulmadı)"
BKRGY,1.77x,100,0,"%50-55 Bakırcı Ömerli Lojistik Merkezi, %15-20 Topkapı 2, %15-20 İSTOÇ, %5-10 Kaya Residence, %5 borç geri ödemesi","Gayrimenkul yatırım ortaklığı (lojistik/ticari)","rotaborsa.com; borsamatik.com.tr; infoyatirim.com; fintekwins.com; getmidas.com"
TKNKA,6.45x,80.6,19.4,"Devam eden yatırımların tamamlanması, finansal borçların azaltılması, işletme sermayesi güçlendirme, yatırım/satın alma fırsatları","Plastik enjeksiyon / ambalaj ve endüstriyel plastik parça üretimi","borsaningundemi.com; endeks24.com; n24.com.tr; hurriyet.com.tr; terayatirim.com; getmidas.com"
QUICK,1.21x,100,0,"Sigortacılık faaliyetlerinde işletme sermayesi/özkaynak güçlendirmesi","Sigortacılık","getmidas.com; infoyatirim.com; sigortamnews.com; garantibbvayatirim.com.tr"
CITAS,7.83x,82.2,17.8,"İşletme sermayesi (%0-40), yeni şube yatırımları (%0-40), yeni depo yatırımı (%20), GES yatırımı (%20)","Kuruyemiş perakendeciliği / gıda perakende","infoyatirim.com; ahlatciyatirim.com.tr; kap.org.tr; halkarz.com"
INTET,1.70x,75,25,"İşletme sermayesi güçlendirme (satış-pazarlama, üretim, Ar-Ge, dijital dönüşüm) ve yeni yatırımlar (iş kolları, tesis modernizasyonu, Ar-Ge/test merkezleri)","Akıllı ulaşım sistemleri (ITS) teknolojisi","borsagundem.com.tr; finansopia.com; getmidas.com; milligazete.com.tr; infoyatirim.com; kap.org.tr"
KARCL,4.28x,85.9,14.1,"Hammadde temini ve işletme sermayesi finansmanı","Demir-çelik sanayi (kütük, filmaşin, inşaat demiri, profil)","ahlatciyatirim.com.tr; getmidas.com; kar-demir.com.tr; infoyatirim.com; bigpara.hurriyet.com.tr"
MASFN,4.98x,64.7,35.3,"Güneş/rüzgâr enerjisi santralleri ve enerji depolama yatırımları, mühendislik/proje geliştirme işletme sermayesi","Yenilenebilir enerji (güneş/rüzgâr üretim ve EPC)","patronlardunyasi.com; getmidas.com; bloomberght.com; finansopia.com"
ALBTN,1.04x,70,30,"%60 yeni yatırım/inşaat projeleri, %20 işletme sermayesi, %10 araç-makine-ekipman, %10 finansal borç kapatma","Hazır beton ve inşaat","borsagundem.com.tr; infoyatirim.com; getmidas.com; ahlatciyatirim.com.tr; tasinmazhaber.com"
METEN,3.0x,66.8,33.2,"%80 depolamalı RES/GES ve yeni yenilenebilir enerji santrali yatırımları, kalan hibrit GES/biyogaz/gübre fabrikası işletme sermayesi","Yenilenebilir enerji (RES/GES üretimi)","enerjigunlugu.net; ekonomist.com.tr; infoyatirim.com; getmidas.com"
